,library,sample,protocol,platform,lab,batch,rep,sample_rep
177,R_ILM_L4_B1_F7_3,F7,R,ILM,L4,R_ILM_L4_B1,3,F7_3
178,R_ILM_L4_B2_F7_1,F7,R,ILM,L4,R_ILM_L4_B2,1,F7_1
179,R_ILM_L4_B2_F7_2,F7,R,ILM,L4,R_ILM_L4_B2,2,F7_2
180,R_ILM_L4_B2_F7_3,F7,R,ILM,L4,R_ILM_L4_B2,3,F7_3
181,R_ILM_L4_B3_F7_1,F7,R,ILM,L4,R_ILM_L4_B3,1,F7_1
182,R_ILM_L4_B3_F7_2,F7,R,ILM,L4,R_ILM_L4_B3,2,F7_2
183,R_ILM_L4_B3_F7_3,F7,R,ILM,L4,R_ILM_L4_B3,3,F7_3
184,R_ILM_L4_B1_M8_1,M8,R,ILM,L4,R_ILM_L4_B1,1,M8_1
185,R_ILM_L4_B1_M8_2,M8,R,ILM,L4,R_ILM_L4_B1,2,M8_2
186,R_ILM_L4_B1_M8_3,M8,R,ILM,L4,R_ILM_L4_B1,3,M8_3
187,R_ILM_L4_B2_M8_1,M8,R,ILM,L4,R_ILM_L4_B2,1,M8_1
188,R_ILM_L4_B2_M8_2,M8,R,ILM,L4,R_ILM_L4_B2,2,M8_2
189,R_ILM_L4_B2_M8_3,M8,R,ILM,L4,R_ILM_L4_B2,3,M8_3
190,R_ILM_L4_B3_M8_1,M8,R,ILM,L4,R_ILM_L4_B3,1,M8_1
191,R_ILM_L4_B3_M8_2,M8,R,ILM,L4,R_ILM_L4_B3,2,M8_2
192,R_ILM_L4_B3_M8_3,M8,R,ILM,L4,R_ILM_L4_B3,3,M8_3
193,R_ILM_L5_B1_D5_1,D5,R,ILM,L5,R_ILM_L5_B1,1,D5_1
194,R_ILM_L5_B2_D5_1,D5,R,ILM,L5,R_ILM_L5_B2,1,D5_1
195,R_ILM_L5_B3_D5_1,D5,R,ILM,L5,R_ILM_L5_B3,1,D5_1
196,R_ILM_L5_B1_D5_2,D5,R,ILM,L5,R_ILM_L5_B1,2,D5_2
197,R_ILM_L5_B2_D5_2,D5,R,ILM,L5,R_ILM_L5_B2,2,D5_2
198,R_ILM_L5_B3_D5_2,D5,R,ILM,L5,R_ILM_L5_B3,2,D5_2
199,R_ILM_L5_B1_D5_3,D5,R,ILM,L5,R_ILM_L5_B1,3,D5_3
200,R_ILM_L5_B2_D5_3,D5,R,ILM,L5,R_ILM_L5_B2,3,D5_3
201,R_ILM_L5_B3_D5_3,D5,R,ILM,L5,R_ILM_L5_B3,3,D5_3
202,R_ILM_L5_B1_D6_1,D6,R,ILM,L5,R_ILM_L5_B1,1,D6_1
203,R_ILM_L5_B2_D6_1,D6,R,ILM,L5,R_ILM_L5_B2,1,D6_1
204,R_ILM_L5_B3_D6_1,D6,R,ILM,L5,R_ILM_L5_B3,1,D6_1
205,R_ILM_L5_B1_D6_2,D6,R,ILM,L5,R_ILM_L5_B1,2,D6_2
